AlphaVUE SCREEN EDITING COMMANDS,,,,
"The  key  sequences  listed  in  the  ""Alternate  key""  column  below  can  be  used  on  all
terminals.  They are especially useful when your terminal does not have the function or special key listed in the ""Key Labeled"" column",,,,
"Letters shown as part of the ""Alternate Key"" can be entered as upper or lower case.",,,,
"Where you see the abbreviation CTRL, hold down the   CTRL      key and at the same time
press the key shown.   Where you see the abbreviation CTRL _ (underline), hold down CTRL   ,   SHIFT     and the underline key (shift/dash), simultaneously and release them.   Then, press the character key that follows.",,,,
,Feature,Key Labeled,Alternate Key,
,Block copy,BLOCK COPY,CTRL C,
,Block mark,MARK BLOCK,CTRL P,
,Block move,BLOCK MOVE,CTRL V,
,Block shift,BLOCK SHIFT,CTRL Z,
,Capture start,CAPTURE START,CTRL K,
,Capture execute,CAPTURE EXECUTE,CTRL P,
,Capture end,CAPTURE END,CTRL X,
,Capture append,CAPTURE APPEND,CTRL A,
,Center screen,CENTER SCREEN,CTRL S,
,Center line,CENTER LINE,CTRL L,
,Char insert mode,AUTO INS CHAR,CTRL Q,
,Clear marks,CLEAR BLOCK,CTRL Q,
,Command mode,MENU or ESCAPE,ESC,
,Cursor down,DOWN ARROW,CTRL J,
,Cursor left,LEFT ARROW,CTRL H,
,Cursor right,RIGHT ARROW,CTRL L,
,Cursor up,UP ARROW,CTRL K,
,Delete block,DEL BLOCK,CTRL D,
,Delete character,CHAR DEL,CTRL D,
,Delete line,LINE DEL,CTRL Z,
,Delete prev char,RUBOUT,RUB,
,Delete to end of line,CTRL Y,CTRL Y,
,Delete word,WORD DEL,CTRL V,
,End of line,Shift/RIGHT ARROW,CTRL N,
,Format paragraph,FORMAT,CTRL F,
,Home position,HOME,CTRL ^,
,Insert character,CHAR INS,CTRL F,
,Insert Edit History,EDIT HIST,CTRL E,
,Insert line,LINE INS,CTRL B,
,Insert Word,WORD INS,CTRL ],
,Join line,Shift/UP ARROW,CTRL O,
,Last page,Shift/HOME,CTRL E,
,Line insert mode,AUTO INS LINE,CTRL \,
,Mark for Push,PUSH,CTRL U,
,Match brace,MATCH BRACE,CTRL Y,
,Match next,MATCH NEXT,CTRL X,
,Next page,NEXT SCREEN,CTRL T,
,Next word,NEXT WORD,CTRL W,
,Previous change,PREV CHANGE,CTRL B,
,Previous page,PREV SCREEN,CTRL R,
,Previous word,PREV WORD,CTRL A,
,Refresh screen,REFRESH,CTRL @,
,Repeat,REPEAT,CTRL N,
,Return,RETURN,CTRL M,
,Return to Push,POP,CTRL O,
,Start of line,Shift/LEFT ARROW,CTRL U,
,Undelete line,RESTORE,CTRL R,
,Yank module,YANK MODULE,CTRL M,
,,,,
"AlphaVUE User’s Manual, Rev. 02",,,,
